Udate,Close,High,Low,Open,Volume,Field7,LDate,LTime,pCalcIndx
1441297380,147.43,147.47,147.43,147.47,500,,9/3/2015,42250.47431,42250.47431
1441297440,147.36,147.44,147.36,147.44,1700,,9/3/2015,42250.475,42250.475
1441297500,147.43,147.43,147.35,147.35,1900,,9/3/2015,42250.47569,42250.47569
1441297560,147.35,147.43,147.33,147.42,6800,,9/3/2015,42250.47639,42250.47639
1441297620,147.3695,147.37,147.31,147.324,6900,,9/3/2015,42250.47708,42250.47708
1441297680,147.38,147.39,147.34,147.35,2276,,9/3/2015,42250.47778,42250.47778
1441297740,147.38,147.41,147.3613,147.3613,1133,,9/3/2015,42250.47847,42250.47847
1441297800,147.39,147.4,147.39,147.4,400,,9/3/2015,42250.47917,42250.47917
1441297860,147.4,147.4,147.37,147.4,1300,,9/3/2015,42250.47986,42250.47986
1441297920,147.352,147.38,147.352,147.37,1900,,9/3/2015,42250.48056,42250.48056
1441297980,147.3,147.39,147.27,147.35,15349,,9/3/2015,42250.48125,42250.48125
1441298040,147.22,147.3,147.2,147.3,12250,,9/3/2015,42250.48194,42250.48194
1441298100,147.25,147.28,147.22,147.22,5933,,9/3/2015,42250.48264,42250.48264
1441298160,147.27,147.28,147.24,147.26,3400,,9/3/2015,42250.48333,42250.48333
